"measurement_record_id","test_run_id","measurement_area","metric_name","metric_value","unit","result_classification","mandatory_guardrail","guardrail_pass","reviewer_judgment","evidence_path","reviewer","notes"
"MR-EXT-FULL-012-04","TR-EXT-FULL-012","locator preservation","locator_count","22","locators","observed","No","","Structural locator count recorded; exact locator fidelity remains subject to manual review.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-012-FX-DOCX-005.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-012-05","TR-EXT-FULL-012","performance","elapsed_ms","18.065","milliseconds","observed","No","","Single-run local observation; first PDF includes startup/cache overhead and should not be treated as a stable average.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-012-FX-DOCX-005.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-012-06","TR-EXT-FULL-012","resource use","memory_peak_delta_bytes","0","bytes","observed","No","","PHP-reported isolated-worker peak-memory delta.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-012-FX-DOCX-005.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-012-07","TR-EXT-FULL-012","warning handling","warning_count","0","warnings","observed","No","","No warnings were recorded in the full readable-corpus run.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-012-FX-DOCX-005.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-013-01","TR-EXT-FULL-013","full-corpus expectation","expectation_pass","True","boolean","passed","Yes","Yes","Readable-fixture extraction expectation was met.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-013-FX-DOCX-006.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-013-02","TR-EXT-FULL-013","extraction outcome","result_status","success","status","observed","No","","Recorded for candidate comparison.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-013-FX-DOCX-006.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-013-03","TR-EXT-FULL-013","extraction output","text_char_count","2327","characters","observed","No","","Successful extraction produced readable text; qualitative fidelity still requires review.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-013-FX-DOCX-006.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-013-04","TR-EXT-FULL-013","locator preservation","locator_count","14","locators","observed","No","","Structural locator count recorded; exact locator fidelity remains subject to manual review.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-013-FX-DOCX-006.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-013-05","TR-EXT-FULL-013","performance","elapsed_ms","19.416","milliseconds","observed","No","","Single-run local observation; first PDF includes startup/cache overhead and should not be treated as a stable average.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-013-FX-DOCX-006.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-013-06","TR-EXT-FULL-013","resource use","memory_peak_delta_bytes","0","bytes","observed","No","","PHP-reported isolated-worker peak-memory delta.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-013-FX-DOCX-006.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-013-07","TR-EXT-FULL-013","warning handling","warning_count","0","warnings","observed","No","","No warnings were recorded in the full readable-corpus run.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-013-FX-DOCX-006.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-014-01","TR-EXT-FULL-014","full-corpus expectation","expectation_pass","True","boolean","passed","Yes","Yes","Readable-fixture extraction expectation was met.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-014-FX-PPTX-001.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-014-02","TR-EXT-FULL-014","extraction outcome","result_status","success","status","observed","No","","Recorded for candidate comparison.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-014-FX-PPTX-001.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-014-03","TR-EXT-FULL-014","extraction output","text_char_count","4205","characters","observed","No","","Successful extraction produced readable text; qualitative fidelity still requires review.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-014-FX-PPTX-001.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-014-04","TR-EXT-FULL-014","locator preservation","locator_count","8","locators","observed","No","","Structural locator count recorded; exact locator fidelity remains subject to manual review.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-014-FX-PPTX-001.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-014-05","TR-EXT-FULL-014","performance","elapsed_ms","39.992","milliseconds","observed","No","","Single-run local observation; first PDF includes startup/cache overhead and should not be treated as a stable average.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-014-FX-PPTX-001.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-014-06","TR-EXT-FULL-014","resource use","memory_peak_delta_bytes","2097152","bytes","observed","No","","PHP-reported isolated-worker peak-memory delta.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-014-FX-PPTX-001.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-014-07","TR-EXT-FULL-014","warning handling","warning_count","0","warnings","observed","No","","No warnings were recorded in the full readable-corpus run.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-014-FX-PPTX-001.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-015-01","TR-EXT-FULL-015","full-corpus expectation","expectation_pass","True","boolean","passed","Yes","Yes","Readable-fixture extraction expectation was met.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-015-FX-PPTX-002.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-015-02","TR-EXT-FULL-015","extraction outcome","result_status","success","status","observed","No","","Recorded for candidate comparison.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-015-FX-PPTX-002.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-015-03","TR-EXT-FULL-015","extraction output","text_char_count","2331","characters","observed","No","","Successful extraction produced readable text; qualitative fidelity still requires review.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-015-FX-PPTX-002.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-015-04","TR-EXT-FULL-015","locator preservation","locator_count","7","locators","observed","No","","Structural locator count recorded; exact locator fidelity remains subject to manual review.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-015-FX-PPTX-002.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-015-05","TR-EXT-FULL-015","performance","elapsed_ms","22.255","milliseconds","observed","No","","Single-run local observation; first PDF includes startup/cache overhead and should not be treated as a stable average.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-015-FX-PPTX-002.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-015-06","TR-EXT-FULL-015","resource use","memory_peak_delta_bytes","0","bytes","observed","No","","PHP-reported isolated-worker peak-memory delta.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-015-FX-PPTX-002.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-015-07","TR-EXT-FULL-015","warning handling","warning_count","0","warnings","observed","No","","No warnings were recorded in the full readable-corpus run.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-015-FX-PPTX-002.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-016-01","TR-EXT-FULL-016","full-corpus expectation","expectation_pass","True","boolean","passed","Yes","Yes","Readable-fixture extraction expectation was met.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-016-FX-PPTX-003.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-016-02","TR-EXT-FULL-016","extraction outcome","result_status","success","status","observed","No","","Recorded for candidate comparison.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-016-FX-PPTX-003.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-016-03","TR-EXT-FULL-016","extraction output","text_char_count","2763","characters","observed","No","","Successful extraction produced readable text; qualitative fidelity still requires review.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-016-FX-PPTX-003.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-016-04","TR-EXT-FULL-016","locator preservation","locator_count","8","locators","observed","No","","Structural locator count recorded; exact locator fidelity remains subject to manual review.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-016-FX-PPTX-003.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-016-05","TR-EXT-FULL-016","performance","elapsed_ms","17.877","milliseconds","observed","No","","Single-run local observation; first PDF includes startup/cache overhead and should not be treated as a stable average.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-016-FX-PPTX-003.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-016-06","TR-EXT-FULL-016","resource use","memory_peak_delta_bytes","0","bytes","observed","No","","PHP-reported isolated-worker peak-memory delta.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-016-FX-PPTX-003.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-016-07","TR-EXT-FULL-016","warning handling","warning_count","0","warnings","observed","No","","No warnings were recorded in the full readable-corpus run.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-016-FX-PPTX-003.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-017-01","TR-EXT-FULL-017","full-corpus expectation","expectation_pass","True","boolean","passed","Yes","Yes","Readable-fixture extraction expectation was met.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-017-FX-PPTX-004.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-017-02","TR-EXT-FULL-017","extraction outcome","result_status","success","status","observed","No","","Recorded for candidate comparison.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-017-FX-PPTX-004.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-017-03","TR-EXT-FULL-017","extraction output","text_char_count","1332","characters","observed","No","","Successful extraction produced readable text; qualitative fidelity still requires review.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-017-FX-PPTX-004.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-017-04","TR-EXT-FULL-017","locator preservation","locator_count","6","locators","observed","No","","Structural locator count recorded; exact locator fidelity remains subject to manual review.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-017-FX-PPTX-004.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-017-05","TR-EXT-FULL-017","performance","elapsed_ms","25.63","milliseconds","observed","No","","Single-run local observation; first PDF includes startup/cache overhead and should not be treated as a stable average.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-017-FX-PPTX-004.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-017-06","TR-EXT-FULL-017","resource use","memory_peak_delta_bytes","0","bytes","observed","No","","PHP-reported isolated-worker peak-memory delta.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-017-FX-PPTX-004.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-017-07","TR-EXT-FULL-017","warning handling","warning_count","0","warnings","observed","No","","No warnings were recorded in the full readable-corpus run.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-017-FX-PPTX-004.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-018-01","TR-EXT-FULL-018","full-corpus expectation","expectation_pass","True","boolean","passed","Yes","Yes","Readable-fixture extraction expectation was met.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-018-FX-PPTX-005.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-018-02","TR-EXT-FULL-018","extraction outcome","result_status","success","status","observed","No","","Recorded for candidate comparison.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-018-FX-PPTX-005.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-018-03","TR-EXT-FULL-018","extraction output","text_char_count","2056","characters","observed","No","","Successful extraction produced readable text; qualitative fidelity still requires review.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-018-FX-PPTX-005.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-018-04","TR-EXT-FULL-018","locator preservation","locator_count","6","locators","observed","No","","Structural locator count recorded; exact locator fidelity remains subject to manual review.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-018-FX-PPTX-005.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-018-05","TR-EXT-FULL-018","performance","elapsed_ms","21.477","milliseconds","observed","No","","Single-run local observation; first PDF includes startup/cache overhead and should not be treated as a stable average.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-018-FX-PPTX-005.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-018-06","TR-EXT-FULL-018","resource use","memory_peak_delta_bytes","0","bytes","observed","No","","PHP-reported isolated-worker peak-memory delta.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-018-FX-PPTX-005.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-018-07","TR-EXT-FULL-018","warning handling","warning_count","0","warnings","observed","No","","No warnings were recorded in the full readable-corpus run.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-018-FX-PPTX-005.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-019-01","TR-EXT-FULL-019","full-corpus expectation","expectation_pass","True","boolean","passed","Yes","Yes","Readable-fixture extraction expectation was met.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-019-FX-PPTX-006.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-019-02","TR-EXT-FULL-019","extraction outcome","result_status","success","status","observed","No","","Recorded for candidate comparison.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-019-FX-PPTX-006.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-019-03","TR-EXT-FULL-019","extraction output","text_char_count","2026","characters","observed","No","","Successful extraction produced readable text; qualitative fidelity still requires review.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-019-FX-PPTX-006.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-019-04","TR-EXT-FULL-019","locator preservation","locator_count","6","locators","observed","No","","Structural locator count recorded; exact locator fidelity remains subject to manual review.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-019-FX-PPTX-006.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-019-05","TR-EXT-FULL-019","performance","elapsed_ms","22.823","milliseconds","observed","No","","Single-run local observation; first PDF includes startup/cache overhead and should not be treated as a stable average.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-019-FX-PPTX-006.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-019-06","TR-EXT-FULL-019","resource use","memory_peak_delta_bytes","0","bytes","observed","No","","PHP-reported isolated-worker peak-memory delta.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-019-FX-PPTX-006.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-019-07","TR-EXT-FULL-019","warning handling","warning_count","0","warnings","observed","No","","No warnings were recorded in the full readable-corpus run.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-019-FX-PPTX-006.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-020-01","TR-EXT-FULL-020","full-corpus expectation","expectation_pass","True","boolean","passed","Yes","Yes","Readable-fixture extraction expectation was met.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-020-FX-TXT-001.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-020-02","TR-EXT-FULL-020","extraction outcome","result_status","success","status","observed","No","","Recorded for candidate comparison.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-020-FX-TXT-001.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-020-03","TR-EXT-FULL-020","extraction output","text_char_count","1828","characters","observed","No","","Successful extraction produced readable text; qualitative fidelity still requires review.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-020-FX-TXT-001.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-020-04","TR-EXT-FULL-020","locator preservation","locator_count","14","locators","observed","No","","Structural locator count recorded; exact locator fidelity remains subject to manual review.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-020-FX-TXT-001.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-020-05","TR-EXT-FULL-020","performance","elapsed_ms","60.621","milliseconds","observed","No","","Single-run local observation; first PDF includes startup/cache overhead and should not be treated as a stable average.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-020-FX-TXT-001.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-020-06","TR-EXT-FULL-020","resource use","memory_peak_delta_bytes","0","bytes","observed","No","","PHP-reported isolated-worker peak-memory delta.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-020-FX-TXT-001.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-020-07","TR-EXT-FULL-020","warning handling","warning_count","0","warnings","observed","No","","No warnings were recorded in the full readable-corpus run.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-020-FX-TXT-001.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-021-01","TR-EXT-FULL-021","full-corpus expectation","expectation_pass","True","boolean","passed","Yes","Yes","Readable-fixture extraction expectation was met.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-021-FX-TXT-002.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-021-02","TR-EXT-FULL-021","extraction outcome","result_status","success","status","observed","No","","Recorded for candidate comparison.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-021-FX-TXT-002.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-021-03","TR-EXT-FULL-021","extraction output","text_char_count","2410","characters","observed","No","","Successful extraction produced readable text; qualitative fidelity still requires review.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-021-FX-TXT-002.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-021-04","TR-EXT-FULL-021","locator preservation","locator_count","11","locators","observed","No","","Structural locator count recorded; exact locator fidelity remains subject to manual review.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-021-FX-TXT-002.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-021-05","TR-EXT-FULL-021","performance","elapsed_ms","18.152","milliseconds","observed","No","","Single-run local observation; first PDF includes startup/cache overhead and should not be treated as a stable average.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-021-FX-TXT-002.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-021-06","TR-EXT-FULL-021","resource use","memory_peak_delta_bytes","0","bytes","observed","No","","PHP-reported isolated-worker peak-memory delta.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-021-FX-TXT-002.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-021-07","TR-EXT-FULL-021","warning handling","warning_count","0","warnings","observed","No","","No warnings were recorded in the full readable-corpus run.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-021-FX-TXT-002.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-022-01","TR-EXT-FULL-022","full-corpus expectation","expectation_pass","True","boolean","passed","Yes","Yes","Readable-fixture extraction expectation was met.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-022-FX-TXT-003.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-022-02","TR-EXT-FULL-022","extraction outcome","result_status","success","status","observed","No","","Recorded for candidate comparison.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-022-FX-TXT-003.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-022-03","TR-EXT-FULL-022","extraction output","text_char_count","2511","characters","observed","No","","Successful extraction produced readable text; qualitative fidelity still requires review.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-022-FX-TXT-003.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-022-04","TR-EXT-FULL-022","locator preservation","locator_count","15","locators","observed","No","","Structural locator count recorded; exact locator fidelity remains subject to manual review.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-022-FX-TXT-003.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
"MR-EXT-FULL-022-05","TR-EXT-FULL-022","performance","elapsed_ms","17.597","milliseconds","observed","No","","Single-run local observation; first PDF includes startup/cache overhead and should not be treated as a stable average.",".local/ai-feasibility-spike/results/extraction/EX-LOCAL-PHP-001/full-20260715-215350/raw/TC-EXT-FULL-022-FX-TXT-003.json","Project team","EX-LOCAL-PHP-001 full readable-corpus extraction; local-only processing; no external transmission."
